tripletid,file_TGT,onset_TGT,offset_TGT,file_OTH,onset_OTH,offset_OTH,file_X,onset_X,offset_X,presentation_order,Practice,phoneitem_id_TGT,phone1_TGT,Target phone,phone3_TGT,talker_TGT,sex_TGT,dialect_TGT,phoneitem_id_OTH,phone1_OTH,Other phone,phone3_OTH,talker_OTH,sex_OTH,dialect_OTH,phoneitem_id_X,phone1_X,phone2_X,phone3_X,talker_X,sex_X,dialect_X,Block
t00000013297,TRAIN/DR2/FLMA0/SI1873,0.7533,0.9974,TRAIN/DR2/FLMA0/SI1873,2.4275,2.6579,TRAIN/DR6/MSMR0/SX325,0.436,0.7444,BA,FALSE,i96988,m,uw,n,FLMA0,F,DR2,i97014,m,ae,n,FLMA0,F,DR2,i165316,m,uw,n,MSMR0,M,DR6,B3
t00000014247,TEST/DR4/MKCL0/SI1091,1.81,2.0313,TEST/DR4/MKCL0/SI461,0.9762,1.2297,TRAIN/DR1/MRSO0/SX399,0.3498,0.76,AB,FALSE,i3396,s,uw,m,MKCL0,M,DR4,i3252,s,ah,m,MKCL0,M,DR4,i176649,s,uw,m,MRSO0,M,DR1,B1
t00000008306,TEST/DR5/MRPP0/SI554,3.7222,4.1025,TEST/DR5/MRPP0/SX104,1.2402,1.3825,TEST/DR2/MGWT0/SI2169,4.8172,5.1581,AB,FALSE,i31939,r,uw,m,MRPP0,M,DR5,i32054,r,ah,m,MRPP0,M,DR5,i19434,r,uw,m,MGWT0,M,DR2,B2
t00000011709,TRAIN/DR5/FEXM0/SA1,1.6892,2.2089,TRAIN/DR5/FEXM0/SX111,0.4542,0.7806,TEST/DR5/MLIH0/SA1,0.985,1.2793,AB,FALSE,i123967,s,uw,q,FEXM0,F,DR5,i124024,s,ah,q,FEXM0,F,DR5,i31429,s,uw,q,MLIH0,M,DR5,B3
t00000008314,TEST/DR5/MRPP0/SI554,3.7222,4.1025,TEST/DR5/MRPP0/SX104,1.2402,1.3825,TEST/DR2/MPGL0/SI1729,1.6292,1.8375,BA,FALSE,i31939,r,uw,m,MRPP0,M,DR5,i32054,r,ah,m,MRPP0,M,DR5,i20813,r,uw,m,MPGL0,M,DR2,B1
t00000011712,TRAIN/DR5/FEXM0/SA1,1.6892,2.2089,TRAIN/DR5/FEXM0/SX111,0.4542,0.7806,TRAIN/DR5/MWEM0/SA1,1.1411,1.5825,BA,FALSE,i123967,s,uw,q,FEXM0,F,DR5,i124024,s,ah,q,FEXM0,F,DR5,i114966,s,uw,q,MWEM0,M,DR5,B2
t00000014562,TRAIN/DR1/MRSO0/SX399,0.3498,0.76,TRAIN/DR1/MRSO0/SI1659,0.1356,0.4621,TRAIN/DR3/MKLS1/SX375,2.5946,2.8742,BA,FALSE,i176649,s,uw,m,MRSO0,M,DR1,i176519,s,ah,m,MRSO0,M,DR1,i90707,s,uw,m,MKLS1,M,DR3,B3
t00000000011,TEST/DR3/MWJG0/SI1754,1.4625,1.8675,TEST/DR3/MWJG0/SI1124,1.3275,1.6292,TEST/DR1/FAKS0/SI2203,2.5231,2.8612,AB,FALSE,i14521,f,uw,l,MWJG0,M,DR3,i14632,f,uh,l,MWJG0,M,DR3,i42931,f,uw,l,FAKS0,F,DR1,B1
t00000000012,TEST/DR3/MWJG0/SI1754,1.4625,1.8675,TEST/DR3/MWJG0/SI1124,1.3275,1.6292,TRAIN/DR1/FSAH0/SI1874,1.8525,2.1932,AB,FALSE,i14521,f,uw,l,MWJG0,M,DR3,i14632,f,uh,l,MWJG0,M,DR3,i169387,f,uw,l,FSAH0,F,DR1,B2
t00000000015,TEST/DR3/MWJG0/SI1754,1.4625,1.8675,TEST/DR3/MWJG0/SI1124,1.3275,1.6292,TEST/DR3/MMJR0/SI2166,1.857,2.2325,AB,FALSE,i14521,f,uw,l,MWJG0,M,DR3,i14632,f,uh,l,MWJG0,M,DR3,i11783,f,uw,l,MMJR0,M,DR3,B3
t00000000014,TEST/DR3/MWJG0/SI1754,1.4625,1.8675,TEST/DR3/MWJG0/SI1124,1.3275,1.6292,TRAIN/DR7/MJRA0/SI1236,0.8746,1.1436,BA,FALSE,i14521,f,uw,l,MWJG0,M,DR3,i14632,f,uh,l,MWJG0,M,DR3,i142431,f,uw,l,MJRA0,M,DR7,B1
t00000000013,TEST/DR3/MWJG0/SI1754,1.4625,1.8675,TEST/DR3/MWJG0/SI1124,1.3275,1.6292,TRAIN/DR4/MJJJ0/SI533,0.7775,1.0925,BA,FALSE,i14521,f,uw,l,MWJG0,M,DR3,i14632,f,uh,l,MWJG0,M,DR3,i59850,f,uw,l,MJJJ0,M,DR4,B2
t00000000016,TEST/DR3/MWJG0/SI1754,1.4625,1.8675,TEST/DR3/MWJG0/SI1124,1.3275,1.6292,TRAIN/DR4/MTRT0/SI1857,1.6925,1.985,BA,FALSE,i14521,f,uw,l,MWJG0,M,DR3,i14632,f,uh,l,MWJG0,M,DR3,i65224,f,uw,l,MTRT0,M,DR4,B3
